Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,All Sexes,75-84 years,4552.0,4950.0,40.0
2020.0,All Sexes,85 years and over,3858.0,3565.0,39.0
2020.0,Male,15-24 years,32.0,28.0,0.0
2020.0,Male,50-64 years,1874.0,1976.0,27.0
2020.0,Male,55-64 years,1474.0,1591.0,22.0
2020.0,Male,65-74 years,2372.0,2598.0,28.0
2020.0,Male,75-84 years,2402.0,2707.0,17.0
2020.0,Male,85 years and over,1532.0,1604.0,16.0
2020.0,Female,50-64 years,1361.0,1489.0,22.0
2020.0,Female,55-64 years,1063.0,1184.0,20.0
2020.0,Female,65-74 years,1794.0,1998.0,26.0
2020.0,Female,75-84 years,2150.0,2243.0,23.0
2020.0,Female,85 years and over,2326.0,1961.0,23.0
2020.0,All Sexes,45-54 years,1176.0,833.0,16.0
2020.0,All Sexes,50-64 years,3358.0,2674.0,40.0
2020.0,All Sexes,55-64 years,2632.0,2126.0,30.0
2020.0,All Sexes,65-74 years,4060.0,3374.0,32.0
2020.0,All Sexes,75-84 years,4137.0,3406.0,30.0
2020.0,All Sexes,85 years and over,3164.0,2624.0,19.0
2020.0,Male,15-24 years,39.0,27.0,0.0
2020.0,Male,50-64 years,1965.0,1531.0,21.0
2020.0,Male,55-64 years,1523.0,1221.0,18.0
2020.0,Male,65-74 years,2364.0,1979.0,18.0
2020.0,Male,75-84 years,2266.0,1858.0,14.0
2020.0,Female,45-54 years,464.0,355.0,11.0
2020.0,Female,50-64 years,1393.0,1143.0,19.0
2020.0,Female,55-64 years,1109.0,905.0,12.0
2020.0,Female,65-74 years,1696.0,1395.0,14.0
2020.0,Female,75-84 years,1871.0,1548.0,16.0
2020.0,Female,85 years and over,1790.0,1444.0,11.0
2020.0,All Sexes,85 years and over,759.0,867.0,19.0
2020.0,Female,45-54 years,42.0,41.0,0.0
2020.0,Female,85 years and over,477.0,417.0,16.0
2020.0,All Sexes,45-54 years,955.0,699.0,12.0
